glowing key	發光的鑰匙
Hmm. It seems loose.	嗯。好像有點鬆。
There's no handle here!	這裡沒有把手！
It's the correct time.	時間是準的。
The plants look unhealthy.	這些植物看起來不太健康。
It is spooky-looking.	看起來陰森森的。
gargoyle	石像鬼
vase	花瓶
grandfather clock	落地鐘
door	門
It's a gate to the pool.	是通往游泳池的柵門。
Ugh! I can't budge it!	唔！我推不動！
It's too high to reach.	太高了搆不到。
It's a heavy garage door.	是一扇很重的車庫門。
It's a water faucet handle.	是水龍頭的把手。
'I heart Weird Ed.'	「我愛怪異愛德。」
'Tentacle on board!'	「車上有觸手！」
'ED SEL'	'ED SEL'
The trunk is locked.	後車廂鎖住了。
It's the edsel's trunk.	是那台艾德索的後車廂。
It's a box of tools.	是一箱工具。
The Meteor is in the trunk.	隕石在後車廂裡。
It's a garage shelf.	是車庫的置物架。
I wonder why this is here.	不知道這東西為什麼會在這裡。
It's a strange-looking edsel.	是一台造型很怪的艾德索。
Woah!	哇喔！
license plate	車牌
bumper sticker	保險桿貼紙
shelf	置物架
cement slab	水泥板
trunk>v	後車廂>v
weird edsel	造型怪異的艾德索
modified rocket engine	改裝過的火箭引擎
garage door>v	車庫門>v
water faucet handle	水龍頭把手
tools	工具
meteor	隕石
Hmm. There's no one here!	嗯。這裡沒人！
It's a fuse box.	是保險絲箱。
'MAIN POWER'	「主電源」
It's too hot!	太燙了！
'Made in Chernobyl'	「車諾比製造」
It's disgusting!	有夠噁心！
Yuck! I'm not touching that!	噁！我才不要碰那個！
light switch>u	電燈開關>u
circuit breakers>u	斷路器>u
fuse box	保險絲箱
furnace	鍋爐
nuclear reactor	核子反應爐
silver key	銀色鑰匙
_dungeon_32_graphic_ 881	_dungeon_32_graphic_ 881
How silly of me!	我真是笨！
I should have tied you to my bed!	我應該把你綁在我床上的！
You're lucky you're not a boy...	算你走運不是男生……
...or you'd be in BIG trouble now!	……不然你現在就麻煩大了！
Too bad you weren't on my side!	可惜你不站在我這邊！
I hope you rot!	希望你爛在裡面！
And this time I'll make sure you won't get out!	這次我會確保你出不來！
All right!	好耶！
Let's go get 'em!	我們去解決他們！
How am I supposed to get in there?	我要怎麼進去啊？
Oh well, maybe next time.	算了，下次吧。
It's the dungeon door.	是地牢的門。
It's a huge outer door to Dr. Fred's lab.	是通往佛瑞德博士實驗室的巨大外門。
It's a heavy, metal padlock.	是一把沉甸甸的金屬掛鎖。
It doesn't seem to open.	好像打不開。
It's the inner door to the lab.	是實驗室的內門。
It requires a combination.	需要密碼。
I wonder if I know him.	不知道我認不認識他。
This brick appears to be a bit loose.	這塊磚頭好像有點鬆。
'Made in Sweden.'	「瑞典製造。」
It's a large, empty candle holder.	是一個很大的空燭臺。
'Meteor Police, badge number 714.'	「隕石警察，警徽編號 714。」
outer door>c	外門>c
outer door>o	外門>o
barred window	鐵欄窗
candle holder	燭臺
skeleton	骨骸
loose brick	鬆動的磚頭
inner door>v	內門>v
top padlock	上面的掛鎖
bottom padlock	下面的掛鎖
badge	警徽
Don't bug me, sucker-face!	別煩我，吸盤臉！
Well, my dear. Hope you're having fun!	怎麼樣，親愛的。玩得開心嗎？
Within minutes it'll all be over.	再過幾分鐘一切就結束了。
You'll be hooked up to my machine...	你會被接上我的機器……
...getting your pretty brains sucked out.	……把你漂亮的腦子吸出來。
You'll never get away with this!	你別想得逞！
Dave and his friends will rescue me!	戴夫和他的朋友會來救我！
You and your meteor can eat slime!	你跟你那顆隕石去吃黏液吧！
That's what she thinks!	她自己這麼以為罷了！
Help, help, HELP!	救命，救命，救命啊！
The pool is empty again!	游泳池又空了！
We're going to have another meltdown!	我們又要爐心熔毀了！
How can I take over the world when I'm on a budget?	預算這麼緊，我要怎麼統治世界？
I always get stuck with cheap equipment.	我永遠只買得起爛設備。
Boy is the meteor going to be pissed.	隕石一定會氣炸。
TENTACLE! FRONT AAAND CENTER!	觸手！給我立正——站好！
Yes sir, Dr. Fred sir,	是，長官，佛瑞德博士長官，
Purple Tentacle at your disposal, sir.	紫色怪物聽候差遣，長官。
Quick! Go check out the reactor.	快！去檢查反應爐。
Yes sir!	是，長官！
Get away from me you purple slime geek.	離我遠一點，你這隻紫色黏液宅。
Don't touch me!	別碰我！
PURPLE TENTACLE!	紫色怪物！
Stop playing with the lab experiments.	不要再玩實驗室的實驗品了。
Bring her, the machine is ready.	把她帶過來，機器準備好了。
EEEEK!	咿咿咿！
Oh great, someone shut the power off!	真是太好了，有人把電源關掉了！
Not again!	又來了！
I see a heart-shaped bed.	我看到一張心形的床。
It's a map of the mansion.	是這棟大樓的地圖。
map of house	房子的地圖
periscope	潛望鏡
small switch>u	小開關>u
Purple Tentacle! Invaders!	紫色怪物！有入侵者！
So...	所以說……
...you've gotten past all my safeguards!	……你們突破了我所有的防護！
There's only one thing left to do!	那就只剩一件事可做了！
